title,impact,component,start_date,end_date,duration_minutes,year,month_num,date_text_raw,body,link
Delays in UI updates for Actions Runs,minor,Actions,2026-02-03 16:10,2026-02-03 19:28,198,2026,2,"Feb 3, 16:10 - 19:28 UTC","On February 3, 2026, between 14:00 UTC and 17:40 UTC, customers experienced delays in Webhook delivery for push events and delayed GitHub Actions workflow runs. During this window, Webhook deliveries for push events were delayed by up to 40 minutes, with an average delay of 10 minutes. GitHub Actions workflows triggered by push events experienced similar job start delays. Additionally, between 15:25 UTC and 16:05 UTC, all GitHub Actions workflow runs experienced status update delays of up to 11 minutes, with a median delay of 6 minutes.The issue stemmed from connection churn in our eventing service, which caused CPU saturation and delays for reads and writes, with subsequent downstream delivery delays for Actions and Webhooks. We have added observability tooling and metrics to accelerate detection, and are correcting stream processing client configuration to prevent recurrence.",https://www.githubstatus.com/incidents/f314nlctbfs5
Incident with Copilot,minor,Copilot,2026-02-03 10:16,2026-02-03 10:56,40,2026,2,"Feb 3, 10:16 - 10:56 UTC","On February 3, 2026, between 09:35 UTC and 10:15 UTC, GitHub Copilot experienced elevated error rates, with an average of 4% of requests failing.This was caused by a capacity imbalance that led to resource exhaustion on backend services. The incident was resolved by infrastructure rebalancing, and we subsequently deployed additional capacity.We are improving observability to detect capacity imbalances earlier and enhancing our infrastructure to better handle traffic spikes.",https://www.githubstatus.com/incidents/zr4jt8bj1mg2
Incident with Actions,major,Actions,2026-02-02 19:03,2026-02-03 00:56,353,2026,2,"Feb 2, 19:03 - Feb 3, 00:56 UTC","On February 2, 2026, between 18:35 UTC and 22:15 UTC, GitHub Actions hosted runners were unavailable, with service degraded until full recovery at 23:10 UTC for standard runners and at February 3, 2026 00:30 UTC for larger runners. During this time, Actions jobs queued and timed out while waiting to acquire a hosted runner. Other GitHub features that leverage this compute infrastructure were similarly impacted, including Copilot Coding Agent, Copilot Code Review, CodeQL, Dependabot, GitHub Enterprise Importer, and Pages. All regions and runner types were impacted. Self-hosted runners on other providers were not impacted. This outage was caused by a backend storage access policy change in our underlying compute provider that blocked access to critical VM metadata, causing all VM create, delete, reimage, and other operations to fail. More information is available at https://azure.status.microsoft/en-us/status/history/?trackingId=FNJ8-VQZ. This was mitigated by rolling back the policy change, which started at 22:15 UTC.  As VMs came back online, our runners worked through the backlog of requests that hadn’t timed out. We are working with our compute provider to improve our incident response and engagement time, improve early detection before they impact our customers, and ensure safe rollout should similar changes occur in the future. We recognize this was a significant outage to our users that rely on GitHub’s workloads and apologize for the impact this had.",https://www.githubstatus.com/incidents/xwn6hjps36ty
Incident with Codespaces,major,Actions,2026-02-02 20:17,2026-02-03 00:54,277,2026,2,"Feb 2, 20:17 - Feb 3, 00:54 UTC","On February 2, 2026, GitHub Codespaces were unavailable between 18:55 and 22:20 UTC and degraded until the service fully recovered at February 3, 2026 00:15 UTC. During this time, Codespaces creation and resume operations failed in all regions. This outage was caused by a backend storage access policy change in our underlying compute provider that blocked access to critical VM metadata, causing all VM create, delete, reimage, and other operations to fail. More information is available at https://azure.status.microsoft/en-us/status/history/?trackingId=FNJ8-VQZ. This was mitigated by rolling back the policy change, which started at 22:15 UTC.  As VMs came back online, our runners worked through the backlog of requests that hadn’t timed out. We are working with our compute provider to improve our incident response and engagement time, improve early detection before they impact our customers, and ensure safe rollout should similar changes occur in the future. We recognize this was a significant outage to our users that rely on GitHub’s workloads and apologize for the impact this had.",https://www.githubstatus.com/incidents/t4s6xgbwv60j
Disruption with some GitHub services,major,Pull Requests,2026-02-02 17:41,2026-02-02 18:46,65,2026,2,"Feb 2, 17:41 - 18:46 UTC","From Jan 31, 2026 00:30 UTC to Feb 2, 2026 18:00 UTC Dependabot service was degraded and failed to create 10% of Automated Pull Requests. This was due to a cluster failover that connected to a read-only database.We mitigated the incident by pausing Dependabot queues until traffic was properly routed to healthy clusters. We’re working on identifying and rerunning all failed jobs during this time.We’re adding new monitors and alerts to reduce our time to detection and prevent this in the future.",https://www.githubstatus.com/incidents/g9mdtzd4rt72
Disruption with some GitHub services,minor,Git Operations,2026-02-02 17:34,2026-02-02 17:43,9,2026,2,"Feb 2, 17:34 - 17:43 UTC","From Feb 2, 2026 17:13 UTC to Feb 2, 2026 17:36 UTC we experienced failures on ~0.02% of Git operations. While deploying an internal service, a misconfiguration caused a small subset of traffic to route to a service that was not ready. During the incident we observed the degradation and statused publicly.To mitigate the issue, traffic was redirected to healthy instances and we resumed normal operation.We are improving our monitoring and deployment processes in this area to avoid future routing issues.",https://www.githubstatus.com/incidents/vj8q32xs2d32
Degraded Experience - Failing to finalize some CCA Jobs,minor,Actions,2026-01-30 20:59,2026-01-30 21:22,23,2026,1,"Jan 30, 20:59 - 21:22 UTC","Between 2026-01-30 19:06 UTC and 2026-01-30 20:04 UTC, Copilot Coding Agent experienced sessions getting stuck, with a mismatch between the UI-reported session status and the underlying Actions and job execution state. Impacted users could observe Actions finish successfully but the session UI continuing to show in-progress state, or sessions remaining in queued state.The issue was caused by a feature flag that resulted in events being published to a new Kafka topic. Publishing failures led to buffer/queue overflows in the shared event publishing client, preventing other critical events from being emitted. We mitigated the incident by disabling the feature flag and redeploying production pods, which resumed normal event delivery. We are working to improve safeguards and detection around event publishing failures to reduce time to mitigation for similar issues in the future.",https://www.githubstatus.com/incidents/szwg1z6zjsvx
Actions Workflows Run Start Delays,minor,Actions,2026-01-28 15:12,2026-01-28 15:54,42,2026,1,"Jan 28, 15:12 - 15:54 UTC","On Jan 28, 2026, between 14:56 UTC and 15:44 UTC, GitHub Actions experienced degraded performance. During this time, workflows experienced an average delay of 49 seconds, and 4.7% of workflow runs failed to start within 5 minutes. The root cause was an atypical load pattern that overwhelmed system capacity and caused resource contention.Recovery began once additional resources came online at 15:25 UTC, with full recovery at 15:44 UTC. We are implementing safeguards to prevent this failure mode and enhancing our monitoring to detect and address similar patterns more quickly in the future.",https://www.githubstatus.com/incidents/22zx8fw9qt4t
Regression in windows runners for public repositories,minor,Actions,2026-01-26 19:25,2026-01-26 23:51,266,2026,1,"Jan 26, 19:25 - 23:51 UTC","On Jan 26, 2026, from approximately 14:03 UTC to 23:42 UTC, GitHub Actions experienced job failures on some Windows standard hosted runners. This was caused by a configuration difference in a new Windows runner type that caused the expected D: drive to be missing. About 2.5% of all Windows standard runners jobs were impacted. Re-run of failed workflows had a high chance of succeeding given the limited rollout of the change.The job failures were mitigated by rolling back the affected configuration and removing the provisioned runners that had this configuration. To reduce the chance of recurrence, we are expanding runner telemetry and improving validation of runner configuration changes. We are also evaluating options to accelerate the mitigation time of any similar future events.",https://www.githubstatus.com/incidents/90hj03y5tj3c
Disruption with repo creation,minor,Issues,2026-01-25 02:43,2026-01-25 03:08,25,2026,1,"Jan 25, 02:43 - 03:08 UTC","Between January 24, 2026,19:56 UTC and January 25, 2026, 2:50 UTC repository creation and clone were degraded. On average, the error rate was 25% and peaked at 55% of requests for repository creation. This was due to increased latency on the repositories database impacting a read-after-write problem during repo creation. We mitigated the incident by stopping an operation that was generating load on the database to increase throughput. We have identified the repository creation problem and are working to address the issue and improve our observability to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/g697qcy5dsks
Disruption with some GitHub services,minor,Git Operations,2026-01-22 14:12,2026-01-22 15:22,70,2026,1,"Jan 22, 14:12 - 15:22 UTC","On January 22, 2026, our authentication service experienced an issue between 14:00 UTC and 14:50 UTC, resulting in downstream disruptions for users.From 14:00 UTC to 14:23 UTC, authenticated API requests experienced higher-than-normal error rates, with an average of 16.9% and occasional peaks up to 22.2% resulting in HTTP 401 responses for authenticated API requests. From 14:00 UTC to 14:50 UTC, git operations over HTTP were impacted, with error rates averaging 3.8% and peaking at 10.8%. As a result, some users may have been unable to run git commands as expected.This was due to the authentication service reaching the maximum allowed number of database connections. We mitigated the incident by increasing the maximum number of database connections in the authentication service.We are adding additional monitoring around database connection pool usage and improving our traffic projection to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/cqb5hcy0gx18
Policy pages for Copilot are timing out,minor,Copilot,2026-01-21 19:31,2026-01-21 20:53,82,2026,1,"Jan 21, 19:31 - 20:53 UTC","On January 21, between 17:50 and 20:53 UTC, around 350 enterprises and organizations experienced slower load times or timeouts when viewing Copilot policy pages. The issue was traced to performance degradation under load due to an issue in upstream database caching capability within our billing infrastructure, which increased query latency to retrieve billing and policy information from approximately 300ms to up to 1.5s.To restore service, we disabled the affected caching feature, which immediately returned performance to normal. We then addressed the issue in the caching capability and re-enabled our use of the database cache and observed continued recovery.Moving forward, we’re tightening our procedures for deploying performance optimizations, adding test coverage, and improving cross-service visibility and alerting so we can detect upstream degradations earlier and reduce impact to customers.",https://www.githubstatus.com/incidents/6d5kv6l8d8q3
Copilot Chat - Grok Code Fast 1 Outage,minor,Copilot,2026-01-21 11:33,2026-01-21 12:38,65,2026,1,"Jan 21, 11:33 - 12:38 UTC","On Jan 21st, 2025, between 11:15 UTC and 13:00 UTC the Copilot service was degraded for Grok Code Fast 1 model. On average, more than 90% of the requests to this model failed due to an issue with an upstream provider. No other models were impacted.The issue was resolved after the upstream provider fixed the problem that caused the disruption. GitHub will continue to enhance our monitoring and alerting systems to reduce the time it takes to detect and mitigate similar issues in the future.",https://www.githubstatus.com/incidents/qq1gg4klp5vm
Run start delays in Actions,minor,Actions,2026-01-20 19:49,2026-01-20 20:10,21,2026,1,"Jan 20, 19:49 - 20:10 UTC","On January 20, 2026, between 19:08 UTC and 20:18 UTC, manually dispatched GitHub Actions workflows saw delayed job starts. GitHub products built on Actions such as Dependabot, Pages builds, and Copilot coding agent experienced similar delays. All jobs successfully completed despite the delays. At peak impact, approximately 23% of workflow runs were affected, with an average delay of 11 minutes.This was caused by a load pattern shift in Actions scheduled jobs that saturated a shared backend resource. We mitigated the incident by temporarily throttling traffic and scaling up resources to account for the change in load pattern. To prevent recurrence, we have scaled resources appropriately and implemented optimizations to prevent this load pattern in the future.",https://www.githubstatus.com/incidents/fw294tth5m8y
Incident affecting actions-runner-controller,minor,Actions,2026-01-20 16:02,2026-01-20 16:23,21,2026,1,"Jan 20, 16:02 - 16:23 UTC","On January 20, 2026, between 14:39 UTC and 16:03 UTC, actions-runner-controller users experienced a 1% failure rate for API requests managing GitHub Actions runner scale sets. This caused delays in runner creation, resulting in delayed job starts for workflows targeting those runners. The root cause was a service to service circuit breaker that incorrectly tripped for all users when a single user hit rate limits for runner registration. The issue was mitigated by bypassing the circuit breaker, and users saw immediate and full service recovery following the fix.We have updated our circuit breakers to exclude individual customer rate limits from their triggering logic and are continuing work to improve detection and mitigation times.",https://www.githubstatus.com/incidents/m4xfyzd8mn2n
Disruption with some GitHub services,minor,Copilot,2026-01-16 23:53,2026-01-17 02:54,181,2026,1,"Jan 16, 23:53 - Jan 17, 02:54 UTC","Between 2026-01-16 16:17 and 2026-01-17 02:54 UTC, some Copilot Business users were unable to access and use certain Copilot features and models. This was due to a bug with how we determine if a user has access to a feature, inadvertently marking features and models as inaccessible for users whose enterprise(s) had not configured the policy.We mitigated the incident by reverting the problematic deployment. We are improving our internal monitoring and mitigation processes to reduce the risk and extended downtime of similar incidents in the future.",https://www.githubstatus.com/incidents/zltcsbhqmvqq
Incident with Issues and Pull Requests,major,Actions,2026-01-15 16:56,2026-01-15 18:54,118,2026,1,"Jan 15, 16:56 - 18:54 UTC","On January 15, 2026,  between 16:40 UTC and 18:20 UTC, we observed increased latency and timeouts across Issues, Pull Requests, Notifications, Actions, Repositories, API, Account Login and Alive. An average 1.8% of combined web and API requests saw failure, peaking briefly at 10% early on. The majority of impact was observed for unauthenticated users, but authenticated users were impacted as well.This was caused by an infrastructure update to some of our data stores. Upgrading this infrastructure to a new major version resulted in unexpected resource contention, leading to distributed impact in the form of slow queries and increased timeouts across services that depend on these datasets. We mitigated this by rolling back to the previous stable version.We are working to improve our validation process for these types of upgrades to catch issues that only occur under high load before full release, improve detection time, and reduce mitigation times in the future.",https://www.githubstatus.com/incidents/q987xpbqjbpl
Actions workflow run and job status updates are experiencing delays,minor,Actions,2026-01-15 14:24,2026-01-15 15:26,62,2026,1,"Jan 15, 14:24 - 15:26 UTC","On January 15th, between 14:18 UTC and 15:26 UTC, customers experienced delays in status updates for workflow runs and checks. Status updates were delayed by up to 20 minutes, with a median delay of 11 minutes.The issue stemmed from an infrastructure upgrade to our database cluster. The new version introduced resource contention under production load, causing slow query times. We mitigated this by rolling back to the previous stable version. We are working to strengthen our upgrade validation process to catch issues that only manifest under high load. We are also adding new monitors to reduce detection time for similar issues in the future.",https://www.githubstatus.com/incidents/5ccghcfrkv39
Incident with Webhooks,minor,Actions,2026-01-14 20:21,2026-01-14 21:38,77,2026,1,"Jan 14, 20:21 - 21:38 UTC","On January 14, 2026, between 19:34 UTC and 21:36 UTC, the Webhooks service experienced a degradation that delayed delivery of some webhooks. During this window, a subset of webhook deliveries that encountered proxy tunnel errors on their initial delivery attempt were delayed by more than two minutes. The root cause was a recent code change that added additional retry attempts for this specific error condition, which increased delivery times for affected webhooks. Previously, webhook deliveries encountering this error would not have been delivered.The incident was mitigated by rolling back the change, restoring normal webhook delivery. As a corrective action, we will update our monitoring to measure the webhook delivery latency critical path, ensuring that incidents are accurately scoped to this workflow.",https://www.githubstatus.com/incidents/j7yjswzyrktp
[Retroactive] Incident with GitHub Copilot (GPT-5 model),minor,Copilot,2026-01-14 18:00,2026-01-14 18:00,0,2026,1,"Jan 14, 18:00 - 18:00 UTC","From January 14, 2026, at 18:15 UTC until January 15, 2026, at 11:30 UTC, GitHub Copilot users were unable to select the GPT-5 model for chat features in VS Code, JetBrains IDEs, and other IDE integrations. Users running GPT-5 in Auto mode experienced errors. Other models were not impacted.

We mitigated this incident by deploying a fix that corrected a misconfiguration in available models, rendering the GPT-5 model available again.

We are improving our testing processes to reduce the risk of similar incidents in the future, and refining our model availability alerting to improve detection time.

We did not status before we completed the fix, and the incident is currently resolved. We are sorry for the delayed post on githubstatus.com.",https://www.githubstatus.com/incidents/sq20c7lrwjrp
Claude Opus 4.5 model experiencing degraded performance,minor,Copilot,2026-01-14 10:56,2026-01-14 12:23,87,2026,1,"Jan 14, 10:56 - 12:23 UTC","On January 14th, 2026, between approximately 10:20 and 11:25 UTC, the Copilot service experienced a degradation of the Claude Opus 4.5 model due to an issue with our upstream provider. During this time period, users encountered a 4.5% error rate when using Claude Opus 4.5. No other models were impacted.The issue was resolved by a mitigation put in place by our provider. GitHub is working with our provider to further improve the resiliency of the service to prevent similar incidents in the future.",https://www.githubstatus.com/incidents/4htf8bgy1xlz
Copilot's GPT-5.1 model has degraded performance,minor,Copilot,2026-01-14 09:24,2026-01-14 10:52,88,2026,1,"Jan 14, 09:24 - 10:52 UTC",This incident has been resolved. Thank you for your patience and understanding as we addressed this issue. A detailed root cause analysis will be shared as soon as it is available.,https://www.githubstatus.com/incidents/j8t05z0nh91f
Disruption with some GitHub services,minor,General,2026-01-13 22:21,2026-01-14 00:18,117,2026,1,"Jan 13, 22:21 - Jan 14, 00:18 UTC","Between 2026-01-13 22:20 and 2026-01-14 00:18 UTC, GitHub Code Search experienced an increase in latency and request timeouts. This was caused by some network transit links between GitHub and Azure Express Route experiencing a small error rate that contributed to applications requests failing, increasing application latency and timeouts. The incident resulted in less than 1% of requests to fail due to timeouts.We mitigated the incident by disabling the links in question. Monitoring each unique network path across providers would have allowed us to mitigate this earlier. We are running root cause analysis with network providers to help us reduce time-to-discover and time-to-mitigate.",https://www.githubstatus.com/incidents/zwlfnp5z0r4s
GitHub Copilot failures,major,Copilot,2026-01-13 09:38,2026-01-13 10:46,68,2026,1,"Jan 13, 09:38 - 10:46 UTC","On January 13th, 2026, between 09:25 UTC and 10:11 UTC, GitHub Copilot experienced unavailability. During this window, error rates averaged 18% and peaked at 100% of service requests, leading to an outage of chat features across Copilot Chat, VS Code, JetBrains IDEs, and other Copilot-dependent products. This incident was triggered by a configuration error during a model update. We mitigated the incident by rolling back this change. However, a second recovery phase lasted until 10:46 UTC, due to unexpected latency with the GPT 4.1 model. To prevent recurrence, we are investing in new monitors and more robust testing environments to reduce further misconfigurations, and to improve our time to detection and mitigation of future issues.",https://www.githubstatus.com/incidents/1lnqb2vk25vn
Disruption with some GitHub services,major,Actions,2026-01-12 10:02,2026-01-12 10:17,15,2026,1,"Jan 12, 10:02 - 10:17 UTC","From January 9 13:11 UTC to January 12 10:17 UTC, new Linux Custom Images generated for Larger Hosted Runners were broken and not able to run jobs. Customers who did not generate new  Custom Images during this period were not impacted. This issue was caused by a change to improve reliability of the image creation process. Due to a bug, the change triggered an unrelated protection mechanism which determines if setup has already been attempted on the VM and caused the VM to be marked unhealthy. Only Linux images which were generated while the change was enabled were impacted. The issue was mitigated by rolling back the change.We are improving our testing around Custom Image generation as part of our GA readiness process for the public preview feature.. This includes expanding our canary suite to detect this and similar interactions as part of a controlled rollout in staging prior to any customer impact.",https://www.githubstatus.com/incidents/zcxwznlbgzr7
Disruption with some GitHub services,minor,Copilot,2026-01-09 17:53,2026-01-10 02:33,520,2026,1,"Jan 9, 17:53 - Jan 10, 02:33 UTC","From January 5, 2026, 00:00 UTC to January 10, 2026, 02:30 UTC, customers using the AI Controls public preview feature experienced delays in viewing Copilot agent session data. Newly created sessions took progressively longer to appear, initially hours, then eventually exceeding 24 hours. Since the page displays only the most recent 24 hours of activity, once processing delays exceeded this threshold, no recent data was visible. Session data remained available in audit logs throughout the incident.Inefficient database queries in the data processing pipeline caused significant processing latency, creating a multi-day backlog. As the backlog grew, the delay between when sessions occurred and when they appeared on the page increased, eventually exceeding the 24-hour display window.The issue was resolved on January 10, 2026, 02:30 UTC, after query optimizations and a database index were deployed. We are implementing enhanced monitoring and automated testing to detect inefficient queries before deployment to prevent recurrence.",https://www.githubstatus.com/incidents/8bcsk6c4prjl
Incident with Copilot,minor,Copilot,2026-01-08 00:45,2026-01-08 01:32,47,2026,1,"Jan 8, 00:45 - 01:32 UTC","On January 8th, 2025, between approximately 00:00 and 1:30 UTC, the Copilot service experienced a degradation of the Grok Code Fast 1 model due to an issue with our upstream provider. Users encountered elevated error rates when using Grok Code Fast 1. Approximately 4.5% of requests failed across all users during this time. No other models were impacted.The issue was resolved by a mitigation put in place by our provider.",https://www.githubstatus.com/incidents/91ryv3glwnvz
Some models missing in Copilot,minor,Copilot,2026-01-07 18:32,2026-01-07 21:07,155,2026,1,"Jan 7, 18:32 - 21:07 UTC","On January 7th, 2026, between 17:16 and 19:33 UTC Copilot Pro and Copilot Business users were unable to use certain premium models, including Claude Opus 4.5 and GPT-5.2. This was due to a misconfiguration with Copilot models, inadvertently marking these premium models as inaccessible for users with Copilot Pro and Copilot Business licenses.We mitigated the incident by reverting the erroneous config change. We are improving our testing processes to reduce the risk of similar incidents in the future, and refining our model availability alerting to improve detection time.",https://www.githubstatus.com/incidents/vyxbxqhdt75d
Incident with Actions,minor,Actions,2026-01-06 16:41,2026-01-06 17:06,25,2026,1,"Jan 6, 16:41 - 17:06 UTC","On January 6, 2026 between 12:55 UTC and 17:04 UTC, the ability to download Actions artifacts from GitHub’s web interface was degraded. During this time, all attempts to download artifacts from the web interface failed. Artifact downloads via the REST API and GitHub CLI were unaffected.This was due to a client-side change that was deployed to optimize performance when navigating between pages in a repository. We mitigated the incident by reverting the change. We are working to improve testing of related changes and to add monitoring coverage for artifact downloads through the web interface to reduce our time to detection and prevent similar incidents from occurring in the future.",https://www.githubstatus.com/incidents/266hgcx77zqw
Incident with Copilot,minor,Copilot,2026-01-06 08:56,2026-01-06 10:08,72,2026,1,"Jan 6, 08:56 - 10:08 UTC","On January 6th, 2026, between approximately 8:41 and 10:07 UTC, the Copilot service experienced a degradation of the GPT-5.1-Codex-Max model due to an issue with our upstream provider. During this time, up to 14.17% of requests to GPT-5.1-Codex-Max failed. No other models were impacted.The issue was resolved by a mitigation put in place by our provider. GitHub is working with our provider to further improve the resiliency of the service to prevent similar incidents in the future.",https://www.githubstatus.com/incidents/d6pkw798c0f0
Disruption with some GitHub services,minor,Copilot,2026-01-01 21:24,2026-01-01 22:31,67,2026,1,"Jan 1, 21:24 - 22:31 UTC","On December 31, 2025, between 04:00 UTC and 22:31 UTC, all users visiting https://github.com/features/copilot were unable to load the page and were instead redirected to an error page.
The issue was caused by an unexpected content change that resulted in page rendering errors.
We mitigated the incident by reverting the change, which restored normal page behavior.
To reduce the likelihood and duration of similar issues in the future, we are improving monitoring and alerting for increased error rates on this page and similar pages, and strengthening validation and safeguards around content updates to prevent unexpected changes from causing user-facing errors.",https://www.githubstatus.com/incidents/d5t56pdnjxhd
Incident with Issues and Pull Requests,minor,Pull Requests,2025-12-23 09:56,2025-12-23 10:32,36,2025,12,"Dec 23, 09:56 - 10:32 UTC","On December 23, 2025, between 09:15 UTC and 10:32 UTC the Issues and Pull Requests search indexing service was degraded and caused search results to contain stale data up to 3 minutes old for roughly 1.3 million issues and pull requests. This was due to search indexing queues backing up from resource contention caused by a running transition.We mitigated the incident by cancelling the running transition.We are working to implement closer monitoring of search infrastructure resource utilization during transitions to reduce our time to detection and mitigation of issues like this one in the future.",https://www.githubstatus.com/incidents/ccrzb3ms9j2d
Disruption with some GitHub services,major,Actions,2025-12-22 22:31,2025-12-23 00:17,106,2025,12,"Dec 22, 22:31 - Dec 23, 00:17 UTC","On December 22, 2025, between 22:01 UTC and 22:32 UTC, unauthenticated requests to github.com were degraded, resulting in slow or timed out page loads and API requests. Unauthenticated requests from Actions jobs, such as release downloads, were also impacted. Authenticated traffic was not impacted. This was due to a severe spike in traffic, primarily to search endpoints.Our immediate response focused on identifying and mitigating the source of the traffic increase, which along with automated traffic management restored full service for our users.We improved limiters for load to relevant endpoints and are continuing work to more proactively identify these large changes in traffic volume, improve resilience in critical request flows, and improve our time to mitigation.",https://www.githubstatus.com/incidents/y2wxzcfbgbn2
Disruption with some GitHub services,major,Copilot,2025-12-18 17:36,2025-12-18 19:09,93,2025,12,"Dec 18, 17:36 - 19:09 UTC","On December 18, 2025, between 16:25 UTC and 19:09 UTC the service underlying Copilot policies was degraded and users, organizations, and enterprises were not able to update any policies related to Copilot. No other GitHub services, including other Copilot services were impacted. This was due to a database migration causing a schema drift.We mitigated the incident by synchronizing the schema. We have hardened the service to make sure schema drift does not cause any further incidents, and will investigate improvements in our deployment pipeline to shorten time to mitigation in the future.",https://www.githubstatus.com/incidents/49y7x9g06l4x
Intermittent networking failures across GitHub-hosted Actions runners,major,Actions,2025-12-18 16:33,2025-12-18 17:41,68,2025,12,"Dec 18, 16:33 - 17:41 UTC","On December 18th, 2025, from 08:15 UTC to 17:11 UTC, some GitHub Actions runners experienced intermittent timeouts for Github API calls, which led to failures during runner setup and workflow execution. This was caused by network packet loss between runners in the West US region and one of GitHub’s edge sites. Approximately 1.5% of jobs on larger and standard hosted runners in the West US region were impacted, 0.28% of all Actions jobs during this period.By 17:11 UTC, all traffic was routed away from the affected edge site, mitigating the timeouts. We are working to improve early detection of cross-cloud connectivity issues and faster mitigation paths to reduce the impact of similar issues in the future.",https://www.githubstatus.com/incidents/x696x0g4t85l
Incident With Copilot,none,Actions,2025-12-16 12:00,2025-12-16 12:00,0,2025,12,"Dec 16, 12:00 - 12:00 UTC","From 11:50-12:25 UTC, Copilot Coding Agent was unable to process new agent requests.  This affected all users creating new jobs during this timeframe, while existing jobs remained unaffected.  The cause of this issue was a change to the actions configuration where Copilot Coding Agent runs, which caused the setup of the Actions runner to fail, and the issue was resolved by rolling back this change.
As a short term solution, we hope to increase our alerting criteria so that we can be alerted more quickly when an incident occurs, and in the long term we hope to harden our runner configuration to be more resilient against errors.",https://www.githubstatus.com/incidents/lctp4bzd37h2
"Copilot Code Review is degraded, and not returning responses to users",major,Copilot,2025-12-15 17:43,2025-12-15 18:22,39,2025,12,"Dec 15, 17:43 - 18:22 UTC","On December 15, 2025, between 15:15 UTC and 18:22 UTC, Copilot Code Review experienced a service degradation that caused 46.97% of pull request review requests to fail, requiring users to re-request a review. Impacted users saw the error message: “Copilot encountered an error and was unable to review this pull request. You can try again by re-requesting a review.” The remaining requests completed successfully.The degradation was caused by elevated response times in an internal, model-backed dependency, which led to request timeouts and backpressure in the review processing pipeline, resulting in sustained queue growth and failed review completion.We mitigated the issue by temporarily bypassing fix suggestions to reduce latency, increasing worker capacity to drain the backlog, and rolling out a model configuration change that reduced end-to-end latency. Queue depth and request success rates returned to normal and remained stable through peak traffic.Following the incident, we increased baseline worker capacity, added instrumentation for worker utilization and queue health, and are improving automatic load-shedding, fallback behavior, and alerting to reduce time to detection and mitigation for similar issues.",https://www.githubstatus.com/incidents/qkr3gcys0lzx
